id,area_name,name,coal_thickness,category,depth,mining_height_min,mining_height_max,dip_angle,hardness_f,roof_category,roof_class,floor_pressure,mine_pressure,gas_level,gas_level_norm,face_length,support_model,source,mine_name,location,created_at,is_test,adcode,lng,lat
18,淮南顾桥1313(3),淮南顾桥1313(3),5.80,高瓦斯复杂,,,,5.5,,,,,,高瓦斯突出矿区,突出,,,顾桥煤矿大宽度工作面防火技术;淮南深部开采文献,,,2026-07-31 15:42:45,0,340400,117.0186,32.6264
21,谢桥1341(3),谢桥1341(3),5.00,大采高,,,,12.1,,"直接顶2类中等稳定,基本顶II级",2类-中等稳定,,,,,,,"文献: 纵帅等,煤矿机械2013(34)04",,,2026-09-10 15:56:23,1,341200,115.8145,32.8901
22,大宁3#四五采区,大宁3#四五采区,4.74,大采高,476.00,,,5.0,,顶板泥岩粉砂岩,,,,,,,,"文献: 许梦斌,煤炭技术2022(41)07",,,2026-09-10 15:56:23,1,141000,111.5173,36.0880
23,龙固2301,龙固2301,9.20,深井特厚综放,864.00,,,6.0,,,,,,,,,,"文献: 查文华等,中国安全生产科学技术2014(10)08",,,2026-09-10 15:56:23,1,371700,115.4804,35.2330
24,朱仙庄II1034,朱仙庄II1034,2.30,大倾角中厚,,,,24.0,,直接顶中粒砂岩,,,,,,,,"文献: 陈贵等,煤矿机械2011(32)04",,,2026-09-10 15:56:23,1,341300,116.9844,33.6339
25,王台铺2306,王台铺2306,2.52,中厚坚硬顶板,155.00,,,3.0,,直接顶K2石灰岩II级坚硬,4类-坚硬,,,,,,,"文献: 闫振东,煤炭科学技术2012(40)11",,,2026-09-10 15:56:23,0,140500,112.8513,35.4975
26,豹子沟10103,豹子沟10103,4.20,组合煤层综放,,,,5.0,,基本顶14m石灰岩,4类-坚硬,,,,,,,"文献: 王鑫海,山东煤炭科技2023(06)",,,2026-09-10 15:56:23,0,141000,111.5173,36.0880
27,南梁20302(1),南梁20302(1),1.60,薄煤层刨煤机,,,,1.6,,直接顶2类,2类-中等稳定,,,,,,,"文献: 宋启等,煤矿机械2015(36)07",,,2026-09-10 15:56:23,0,,,
28,祁南7122,祁南7122,1.30,薄煤层,,,,8.0,,直接顶2类老顶1类,2类-中等稳定,,,,,,,"文献: 宋启等,煤矿机械2015(36)07",,,2026-09-10 15:56:23,0,341300,116.9844,33.6339
29,金家渠110301,金家渠110301,3.70,大倾角多断层,190.00,,,26.0,,顶板强度低易冒落,1类-不稳定,,,,,,,"文献: 张陟学位论文,中国矿业大学2023",,,2026-09-10 15:56:23,0,640100,106.2309,38.4872
30,麻地沟13204,麻地沟13204,10.95,特厚综放,,,,20.0,,中等冒落顶板,1类-不稳定,,,,,,,"文献: 乔粉先,2019(09)",,,2026-09-10 15:56:23,0,,,
31,桃园矿,桃园矿,2.84,,,,,28.0,,,,,,,,,,"文献:宋维德等,桃园1034综采面",,,2026-09-10 16:33:29,0,341300,116.9844,33.6339
32,通安煤矿,通安煤矿,4.40,,,,,24.0,,,,,,,,,,"文献:徐万军等,Ⅲ上煤,倾角20~28取中值24",,,2026-09-10 16:33:29,0,,,
33,下沟煤矿,下沟煤矿,16.80,,,,,7.0,,,,,,,,,,"文献:闫少宏等,ZF1802综放面,埋深325m",,,2026-09-10 16:33:29,0,610400,108.0520,35.0437
34,榆家梁44305,榆家梁44305,,,80.00,,,,,,,,,,,,,"任艳芳,采矿与岩层控制工程学报2020,2(3):036012;浅埋80m",,,2026-09-15 16:06:30,0,,,
35,黄沙2上煤首采面,黄沙2上煤首采面,0.75,,,,,20.0,,,,,,,,,,"谢德瑜,煤矿开采2011,16(5):59-60",,,2026-09-15 16:06:30,0,,,
36,田陈530,田陈530,1.65,,,,,10.0,,,,,,,,,,"盛国军等,煤炭学报2007,32(3):230-234",,,2026-09-15 16:06:30,0,,,
37,车集2901,车集2901,2.70,,,,,,,,,,,,,,,"郑伟卫,2024(10):101-105;河南永煤车集矿",,,2026-09-15 16:06:30,0,,,
38,霍尔辛赫5110,霍尔辛赫5110,7.95,,,,,,,,,,,,,,,"赵杰,2023(5):215-217",,,2026-09-15 16:06:30,0,,,
39,梧桐庄182605,梧桐庄182605,3.45,,,,,,,,,,,,,,,"郭超等,煤炭与化工2023,46(5):71-74",,,2026-09-15 16:06:30,0,,,
40,榆树坡5105,榆树坡5105,3.20,,,,,,,,,,,,,,,"陈贵廷,煤炭与化工2020,43(5):97-98,107",,,2026-09-15 16:06:30,0,,,
41,磁窑沟13101,磁窑沟13101,11.58,,,,,,,,,,,,,,,"杜伟剑等,煤炭与化工2022,45(2):62-66,70;坐标按原文井田经纬度(111°18'03""~111°20'15""E,39°16'29""~39°18'31""N)取中心换算",,,2026-09-15 16:06:30,0,140930,111.3180,39.2920
42,顾北13121,顾北13121,7.60,,,,,5.0,,,,,,,,,,"康志鹏等,煤矿机械2022,43(6):131-134",,,2026-09-15 16:06:30,0,,,
