id,model,type,working_resistance,height_min,height_max,manufacturer,created_at,center_dist,canopy_len,intensity,initial_force,floor_pressure,weight,source,data_status
36,ZY8000/13/26,掩护式,8000,1.30,2.60,,2026-07-31 15:31:24,1.50,4.20,1.0~1.12,5716,2.7~4.1,,采矿与岩层控制工程学报2014 | 控顶长度按架型经验估算,verified
37,ZY3000/13/22,支撑掩护式,3000,1.30,2.20,,2026-07-31 15:31:24,1.50,4.20,0.48~0.54,2616,1.13~1.27,8.2,乐山市政府公开技术文件 | 控顶长度按架型经验估算,verified
38,ZY8800/18/40,掩护式,8800,1.80,4.00,,2026-07-31 15:31:24,1.50,4.80,1.22,,,,"液压支架型号大全(百度文库) | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
39,ZD3200/17/35,支撑式,3200,1.70,3.50,,2026-07-31 15:31:24,1.50,,,,,,液压支架型号大全(百度文库) | 支护强度未查到公开参数(2026-08四轮检索),verified
40,ZY9000/14/28,掩护式,9000,1.40,2.80,,2026-07-31 15:31:24,1.75,4.20,1.22,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
41,ZY9000/17/35,掩护式,9000,1.70,3.50,,2026-07-31 15:31:24,1.75,4.20,1.22,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
42,ZY9000/20/40,掩护式,9000,2.00,4.00,,2026-07-31 15:31:24,1.75,4.80,1.0225,,,,郑煤机型谱 | 找煤机网郑煤机型谱表(搜狐转载) 原始值:1.0～1.045 | 控顶长度按架型经验估算,verified
43,ZY9000/22/45,掩护式,9000,2.20,4.50,,2026-07-31 15:31:24,1.75,4.80,1.07,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
44,ZY10000/13/26D,掩护式,10000,1.30,2.60,,2026-07-31 15:31:24,1.75,4.20,1.36,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
45,ZY10000/18/38D,掩护式,10000,1.80,3.80,,2026-07-31 15:31:24,1.75,4.20,1.36,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
46,ZY12000/14/28D,掩护式,12000,1.40,2.80,,2026-07-31 15:31:24,1.75,4.20,1.63,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
47,ZY12000/20/40,掩护式,12000,2.00,4.00,,2026-07-31 15:31:24,1.75,4.80,1.305,,,,郑州煤机综机产品列表 | 找煤机网郑煤机型谱表(搜狐转载) 原始值:1.30～1.31 | 控顶长度按架型经验估算,verified
48,ZY12000/22/45D,掩护式,12000,2.20,4.50,,2026-07-31 15:31:24,1.75,4.80,1.2,,,,郑煤机综机官网型谱(zmjzj.com) 原始值:1.2 | 控顶长度按架型经验估算,verified
49,ZY12000/15/30D,掩护式,12000,1.50,3.00,,2026-07-31 15:31:24,1.75,4.20,1.17~1.26,,,,液压支架安全阀频繁开启研究(汉斯) | 控顶长度按架型经验估算,verified
50,ZY12000/28/62,掩护式,12000,2.80,6.20,,2026-07-31 15:31:24,1.75,4.80,1.36~1.40,,,,大比尺采场模型试验研究 | 控顶长度按架型经验估算,verified
51,ZY12000/28/64D,掩护式,12000,2.80,6.40,,2026-07-31 15:31:24,1.75,4.80,1.27~1.32,10390,1.55~3.98,45.9,采矿与岩层控制工程学报2011 | 控顶长度按架型经验估算,verified
52,ZY13000/27/60D,掩护式,13000,2.70,6.00,,2026-07-31 15:31:24,1.75,4.80,1.41~1.46,10400,,,煤炭工程期刊2025 | 控顶长度按架型经验估算,verified
53,ZY13000/28/63,掩护式,13000,2.80,6.30,,2026-07-31 15:31:24,1.75,4.80,1.25,,,,郑州煤机综机产品列表 | 找煤机网郑煤机型谱表(搜狐转载) 原始值:1.24～1.26 | 控顶长度按架型经验估算,verified
54,ZY13000/26/55D,掩护式,13000,2.60,5.50,,2026-07-31 15:31:24,1.75,4.80,1.55,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
55,ZY13000/30/65D,掩护式,13000,3.00,6.50,,2026-07-31 15:31:24,1.75,4.80,1.39,,,,山西太重煤机成套型谱表 原始值:1.39 | 控顶长度按架型经验估算,verified
56,ZY15000/22/45D,掩护式,15000,2.20,4.50,,2026-07-31 15:31:24,1.75,4.80,1.79,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
57,ZY15000/28/55D,掩护式,15000,2.80,5.50,,2026-07-31 15:31:24,1.75,4.80,1.23~1.35,,,,wedoany中煤北京煤机产品页 原始值:1.23~1.35 | 控顶长度按架型经验估算,verified
58,ZY15000/33/72D,掩护式,15000,3.30,7.20,,2026-07-31 15:31:24,1.75,4.80,1.79,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
59,ZY18000/25/45D,掩护式,18000,2.50,4.50,,2026-07-31 15:31:24,2.05,4.80,1.52,,,,综采工作面设计与顶板安全论文(石屹台煤矿3-1煤) 原始值:1.52 | 控顶长度按架型经验估算,verified
60,ZY18000/30/65D,掩护式,18000,3.00,6.50,,2026-07-31 15:31:24,2.05,4.80,1.83,,,63.0,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
61,ZY18000/32/70D,掩护式,18000,3.20,7.00,,2026-07-31 15:31:24,2.05,4.80,1.63,,,,大比尺采场模型试验研究 | 控顶长度按架型经验估算,verified
62,ZY18000/34.5/74D,掩护式,18000,3.45,7.40,,2026-07-31 15:31:24,2.05,4.80,1.83,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
63,ZY21000/38/82D,掩护式,21000,3.80,8.20,,2026-07-31 15:31:24,2.05,4.80,1.45,,,,"煤炭科学技术2023 | 矛盾:煤炭学报金鸡滩论文载1.65~1.74MPa,78.3t | 控顶长度按架型经验估算",suspect
64,ZY21000/33.5/70D,掩护式,21000,3.35,7.00,,2026-07-31 15:31:24,2.05,4.80,1.66~1.71,,,,维度网中煤北京煤机产品页 原始值:1.66~1.71 | 控顶长度按架型经验估算,verified
65,ZY21000/36.5/80D,掩护式,21000,3.65,8.00,,2026-07-31 15:31:24,2.05,4.80,2.13,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
66,ZY26000/40/88D,掩护式,26000,4.00,8.80,,2026-07-31 15:31:24,2.40,4.80,1.71~1.83,19782,,99.0,煤炭科学技术(8.8m工作面) | 控顶长度按架型经验估算,verified
67,ZYA29000/45/100D,掩护式,29000,4.50,10.00,,2026-07-31 15:31:24,2.40,4.80,1.88~1.95,23368,,,"煤炭学报2024(10m超大采高) | 控顶长度按架型经验估算 | 红柳林煤矿在用(亦记ZY29000/45/100D),实测均强>1.45MPa(郝翰等)",verified
68,ZZ6400/18/38,支撑掩护式,6400,1.80,3.80,,2026-07-31 15:31:24,1.50,4.50,0.895,,,,郑州煤机综机产品列表 | 找煤机网郑煤机型谱表(搜狐转载) 原始值:0.89～0.9 | 控顶长度按架型经验估算,verified
69,ZZ7800/22/45,支撑掩护式,7800,2.20,4.50,,2026-07-31 15:31:24,1.50,4.50,1.01~1.06,,,,郑煤机综机官网型谱(zmjzj.com) 原始值:1.01~1.06 | 控顶长度按架型经验估算,verified
70,ZZ8000/14/26,支撑掩护式,8000,1.40,2.60,,2026-07-31 15:31:24,1.50,3.90,1.37,,,,"采矿与岩层控制工程学报2014 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
71,ZZS5300/14/28,支撑掩护式,5300,1.40,2.80,,2026-07-31 15:31:24,1.50,3.90,0.91,4515,,15.8,"专利CN102094647B | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
72,ZZ13000/28/60,支撑掩护式,13000,2.80,6.00,,2026-07-31 15:31:24,1.75,4.50,1.24~1.28,10128,1.0~3.5,,煤炭学报(坚硬顶板压架事故) | 控顶长度按架型经验估算,verified
73,ZZ20000/28/62D,支撑掩护式,20000,2.80,6.20,,2026-07-31 15:31:24,1.75,4.50,1.7~1.76,,,61.5,郑煤机集团官网 | 控顶长度按架型经验估算,verified
74,ZF3800/17/28,放顶煤,3800,1.70,2.80,,2026-07-31 15:31:24,1.50,5.20,0.49,,,,"急倾斜厚煤层水平分段放顶煤(期刊) | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
75,ZF6400/19/30,放顶煤,6400,1.90,3.00,,2026-07-31 15:31:24,1.50,5.20,0.93~0.95,,,,郑煤机综机型谱表(zmjzj.com) 原始值:0.93~0.95 | 控顶长度按架型经验估算,verified
76,ZF7000/18/28,放顶煤,7000,1.80,2.80,,2026-07-31 15:31:24,1.50,5.20,0.9,,,,"综采液压支架支撑阻力计算(百度文库) | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
77,ZF7800/16/28,放顶煤,7800,1.60,2.80,,2026-07-31 15:31:24,1.50,5.20,0.93~0.95,,,,郑煤机综机官网型谱(zmjzj.com) 原始值:0.93~0.95 | 控顶长度按架型经验估算,verified
78,ZF9000/19/38,放顶煤,9000,1.90,3.80,,2026-07-31 15:31:24,1.50,5.40,1.17~1.22,,,,郑煤机综机官网型谱(zmjzj.com) 原始值:1.17~1.22 | 控顶长度按架型经验估算,verified
79,ZFS6500/18/35,放顶煤(双输送机),6500,1.80,3.50,,2026-07-31 15:31:24,1.50,5.40,0.82~0.85,5711,2.1,,潞安环能招股说明书2006 | 控顶长度按架型经验估算,verified
80,ZF10000/20/38,放顶煤,10000,2.00,3.80,,2026-07-31 15:31:24,1.50,5.40,1.23,,,,"液压支架型号大全(百度文库) | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
81,ZF10000/25/38,放顶煤,10000,2.50,3.80,,2026-07-31 15:31:24,1.75,5.40,1.04,,,,塔山矿综放矿压研究 | 找煤机网郑煤机型谱表(搜狐转载) 原始值:1.04 | 控顶长度按架型经验估算,verified
82,ZF13000/25/38,放顶煤,13000,2.50,3.80,,2026-07-31 15:31:24,1.75,5.40,1.23,10096,,,ZF13000/25/38再制造技术研究论文(张辉) 原始值:1.23 | 控顶长度按架型经验估算,verified
83,ZF13000/22/42,放顶煤,13000,2.20,4.20,,2026-07-31 15:31:24,1.75,5.40,1.29~1.34,,,,郑煤机综机型谱表(zmjzj.com) 原始值:1.29~1.34 | 控顶长度按架型经验估算,verified
84,ZF15000/27.5/42,放顶煤,15000,2.75,4.20,,2026-07-31 15:31:24,1.75,5.40,1.46,,,,采矿与岩层控制工程学报2011 | 找煤机网郑煤机型谱表(搜狐转载) 原始值:1.46 | 控顶长度按架型经验估算,verified
85,ZF18000/21/38D,放顶煤,18000,2.10,3.80,,2026-07-31 15:31:24,1.75,5.40,1.9,,,,"重装公司使用纪实(微信) | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
86,ZF18000/23/42D,放顶煤,18000,2.30,4.20,,2026-07-31 15:31:24,1.75,5.40,1.64~1.7,15270,4.2,,山东煤炭科技2026 | 控顶长度按架型经验估算,verified
87,ZFY18000/28/53D,放顶煤(两柱掩护),18000,2.80,5.30,,2026-07-31 15:31:24,2.05,5.40,1.51~1.55,14718,,,河南科技(龙王沟选型) | 控顶长度按架型经验估算,verified
88,ZF21000/25/42D,放顶煤,21000,2.50,4.20,,2026-07-31 15:31:24,1.75,5.40,2.22,,,,"我国综放开采40年及展望 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
89,ZF6800/19/38,放顶煤,6800,1.90,3.80,,2026-07-31 15:31:24,1.50,5.40,0.84,,,,"我国综放开采40年及展望 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
90,ZY2200/11/22,掩护式,2200,1.10,2.20,郑煤机,2026-07-31 15:31:24,1.50,4.20,0.35,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
91,ZY3400/10/17,掩护式,3400,1.00,1.70,郑煤机,2026-07-31 15:31:24,1.50,3.90,0.58,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
92,ZY4000/08/20,掩护式,4000,0.80,2.00,郑煤机,2026-07-31 15:31:24,1.50,4.20,0.63,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
93,ZY4000/11/25,掩护式,4000,1.10,2.50,郑煤机,2026-07-31 15:31:24,1.50,4.20,0.585,,,,郑煤机型谱 | 找煤机网郑煤机型谱表(搜狐转载) 原始值:0.53～0.64 | 控顶长度按架型经验估算,verified
94,ZY4000/15/32,掩护式,4000,1.50,3.20,郑煤机,2026-07-31 15:31:24,1.50,4.20,0.6~0.65,,,,山东卓力工矿型谱表 原始值:0.6~0.65 | 控顶长度按架型经验估算,verified
95,ZY4000/16/35,掩护式,4000,1.60,3.50,郑煤机,2026-07-31 15:31:24,1.50,4.20,0.6~0.65,,,,山东卓力工矿型谱表 原始值:0.6~0.65 | 控顶长度按架型经验估算,verified
96,ZY4000/17.5/38,掩护式,4000,1.75,3.80,郑煤机,2026-07-31 15:31:24,1.50,4.20,0.7,,,,郑煤机型谱 | 找煤机网郑煤机型谱表(搜狐转载) 原始值:0.7 | 控顶长度按架型经验估算,verified
97,ZY4800/09/21,掩护式,4800,0.90,2.10,郑煤机,2026-07-31 15:31:24,1.50,4.20,0.625,,,,郑煤机型谱 | 找煤机网郑煤机型谱表(搜狐转载) 原始值:0.57～0.68 | 控顶长度按架型经验估算,verified
98,ZY5200/11/26,掩护式,5200,1.10,2.60,郑煤机,2026-07-31 15:31:24,1.50,4.20,0.83,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
99,ZY5200/14/32,掩护式,5200,1.40,3.20,郑煤机,2026-07-31 15:31:24,1.50,4.20,0.83,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
100,ZY5200/17/35,掩护式,5200,1.70,3.50,郑煤机,2026-07-31 15:31:24,1.50,4.20,0.83,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
101,ZY5200/18/38,掩护式,5200,1.80,3.80,郑煤机,2026-07-31 15:31:24,1.50,4.20,0.83,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
102,ZY5200/19/43,掩护式,5200,1.90,4.30,郑煤机,2026-07-31 15:31:24,1.50,4.80,0.72,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
103,ZY6800/20/42,掩护式,6800,2.00,4.20,郑煤机,2026-07-31 15:31:24,1.50,4.80,0.94,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
104,ZY6800/21/45,掩护式,6800,2.10,4.50,郑煤机,2026-07-31 15:31:24,1.50,4.80,0.94,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
105,ZY6800/24/50,掩护式,6800,2.40,5.00,郑煤机,2026-07-31 15:31:24,1.50,4.80,0.94,,,,郑煤机型谱 | 找煤机网郑煤机型谱表(搜狐转载) 原始值:0.93～0.95 | 控顶长度按架型经验估算,verified
106,ZY9000/11/22D,掩护式,9000,1.10,2.20,郑煤机,2026-07-31 15:31:24,1.75,4.20,1.22,,,,"郑煤机型谱 | 支护强度未查到公开参数(2026-08四轮检索) | 控顶长度按架型经验估算 | 支护强度按P/(B·L)复算估算(二阶估算,L为经验值)",verified
